Artist ID,Artist name,Region,Track ID,Track name,Release date,Genre,Popularity,Explicit,Duration,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Valence
3w2HqkKa6upwuXEULtGvnY,FLOW,Japan,5Kr6YrqQEcsAl3i5QeNK1D,Okuru Kotoba,2003-01,anime,13.0,False,192000,0.132,0.371,0.899,0.0,C,0.126,-3.787,Major,0.114,179.982,0.571
0bAsR2unSRpn6BQPEnNlZm,Aimer,Japan,2KWxAJGO5xjYt4KFQZtx85,Dareka Umiwo - Instrumental,2015-07,anime,17.0,False,293987,0.451,0.325,0.478,0.917,G,0.151,-11.174,Minor,0.0385,142.038,0.12
3w2HqkKa6upwuXEULtGvnY,FLOW,Japan,2E4SDQRkog9hbxNq0BSqBi,Good Days,2016-02,anime,16.0,False,431440,0.00469,0.369,0.688,4.81e-06,A,0.132,-5.649,Major,0.0295,156.04,0.266
0bAsR2unSRpn6BQPEnNlZm,Aimer,Japan,0VSzTehHYVAR5TnuF75oWP,Samishikute Nemurenai Yoruwa - Live in Church Version,2013-11,anime,19.0,False,381307,0.959,0.43,0.328,0.000219,G#,0.189,-11.303,Major,0.0414,140.783,0.328
3w2HqkKa6upwuXEULtGvnY,FLOW,Japan,4UvtVAxVV8WNJQEkCWRHn0,Days - Golden Coast Version,2005-07,anime,12.0,False,265133,0.00675,0.579,0.795,1.34e-06,A#,0.13,-6.053,Minor,0.0421,125.919,0.874
0bAsR2unSRpn6BQPEnNlZm,Aimer,Japan,31WQOg0wveo9LcW31DRVTR,Dareka Umiwo - TV Size,2015-07,anime,18.0,False,94307,0.637,0.494,0.472,5.81e-05,G,0.122,-9.912,Minor,0.0363,70.983,0.34
0bAsR2unSRpn6BQPEnNlZm,Aimer,Japan,3hvyQvmlHSYkOggbSjurcA,Broken Night - Fate/Hollow Ataraxia Edit,2014-12,anime,16.0,False,112787,0.573,0.319,0.655,0.0,F,0.153,-7.0,Major,0.0444,170.067,0.312
0bAsR2unSRpn6BQPEnNlZm,Aimer,Japan,5sXQeOn8qNsTcUGd0oCAu2,StarRingChild - Movie Version,2014-05,anime,18.0,False,205027,0.00877,0.489,0.889,1.52e-06,A,0.233,-4.727,Major,0.0636,163.972,0.777
0MK8l3nURwwQIjafvXoJJt,ASIAN KUNG-FU GENERATION,Japan,3Sldq4mi8wrLNukwWQcsac,Koshigoe Crybaby,2008-11,j-rock,11.0,False,234293,0.000317,0.518,0.95,0.00586,B,0.11,-3.371,Major,0.0492,111.146,0.515
0MK8l3nURwwQIjafvXoJJt,ASIAN KUNG-FU GENERATION,Japan,7qy30r53kTtTWzSufjYi4k,Railroad,2012-09,j-rock,12.0,False,188240,0.00239,0.49,0.76,2.77e-05,A,0.0866,-3.887,Major,0.0402,135.212,0.474
0MK8l3nURwwQIjafvXoJJt,ASIAN KUNG-FU GENERATION,Japan,1nwPKATRgvs2iay9wMj1lg,Kugenuma Surf,2008-11,j-rock,11.0,False,148373,0.00273,0.433,0.963,0.0,C,0.0941,-3.999,Major,0.0818,138.226,0.273
3PzqP5IkpLhlSdZLh7jwPn,WagakkiBand,Japan,42VZDPhWSkOiRAhAJrWx7A,Hangeki No Yaiba,2015-09,j-rock,8.0,False,217253,0.0305,0.362,0.973,0.0165,B,0.196,-1.998,Major,0.167,180.175,0.658
